Full Address,Name,Latitude,Longitude
"1 West 126th Street,Manhattan, New York ","1 West 126th Street , Manhattan,  New York ",40.8073916,-73.9420052
"10 St Nicholas Terrace ,Manhattan,  New York ","10 St Nicholas Terrace , Manhattan,  New York ",40.8127317,-73.9516822
"10-12 West 107 Street ,Manhattan,  New York ","10-12 West 107 Street , Manhattan,  New York ",40.7989797,-73.9603662
"10-12 West 93 Street ,Manhattan,  New York ","10-12 West 93 Street , Manhattan,  New York ",40.789909,-73.967099
"100 St Nicholas Avenue ,Manhattan,  New York ","100 St Nicholas Avenue , Manhattan,  New York ",40.8024149,-73.9522824
"100 West 121 Street ,Manhattan,  New York ","100 West 121 Street , Manhattan,  New York ",40.8052883,-73.9478167
"100 West 142 Street ,Manhattan,  New York ","100 West 142 Street , Manhattan,  New York ",40.8185834,-73.938103
"100 West 162 Street, Bronx,  New York ","100 West 162 Street , Bronx,  New York ",40.8314298,-73.929897
"100 West 88 St ,Manhattan,  New York ","100 West 88 St , Manhattan,  New York ",40.7878578,-73.9716115
"100-106 West 141st Street ,Manhattan,  New York ","100-106 West 141st Street , Manhattan,  New York ",40.817882,-73.938644
"100-18 Northern Blvd , Queens,  New York ",100-18 Northern Blvd  Queens New York ,40.7571269,-73.867625
"1000 Decatur St , Brooklyn, ,  New York ","1000 Decatur St , Brooklyn,  New York ",40.6847299,-73.9112338
"1001 Anderson Avenue, Bronx,  New York ","1001 Anderson Avenue , Bronx,  New York ",40.8323919,-73.9273711
"1001 Progressive , Brooklyn, ,  New York ","1001 Progressive , Brooklyn,  New York ",40.6145808,-73.9945944
"1003-5 East 174 Street, Bronx,  New York ","1003-5 East 174 Street , Bronx,  New York ",40.8340854,-73.8762595
"1005 Putnam Ave, Bronx,  New York ","1005 Putnam Ave , Bronx,  New York ",40.883816,-73.8994671
"1007-9 East 174 St, Bronx,  New York ","1007-9 East 174 St , Bronx,  New York ",40.8361596,-73.8834978
"101 Linden St , Brooklyn, ,  New York ","101 Linden St , Brooklyn,  New York ",40.6929211,-73.9201591
"101-09 West 115 St ,Manhattan,  New York ","101-09 West 115 St , Manhattan,  New York ",40.8016173,-73.9504006
"1012 Longfellow Avenue, Bronx,  New York ","1012 Longfellow Avenue , Bronx,  New York ",40.8235941,-73.8884611
"1015 Anderson Avenue, Bronx,  New York ","1015 Anderson Avenue , Bronx,  New York ",40.8325809,-73.9272104
"1015 Longwood Avenue, Bronx,  New York ","1015 Longwood Avenue , Bronx,  New York ",40.8168624,-73.8965702
"1015 Summit Ave, Bronx,  New York ","1015 Summit Ave , Bronx,  New York ",40.833776,-73.9301395
"1019 Longwood Ave, Bronx,  New York ","1019 Longwood Ave , Bronx,  New York ",40.8167078,-73.8965455
"102 Avenue B Homesteaders ,Manhattan,  New York ","102 Avenue B Homesteaders , Manhattan,  New York ",40.7248592,-73.9816084
"102-04 Front Street , Brooklyn, ,  New York ","102-04 Front Street , Brooklyn,  New York ",40.7023872,-73.9888109
"1020 Tiffany Street, Bronx,  New York ","1020 Tiffany Street , Bronx,  New York ",40.8241418,-73.8946688
"1021-7 Avenue St John, Bronx,  New York ","1021-7 Avenue St John , Bronx,  New York ",40.8133239,-73.9013455
"1025-1027 Leggett Avenue, Bronx,  New York ","1025-1027 Leggett Avenue , Bronx,  New York ",40.813893,-73.8992449
"103 Clinton St ,Manhattan,  New York ","103 Clinton St , Manhattan,  New York ",40.7182943,-73.9857601
"103 East 97 St ,Manhattan,  New York ","103 East 97 St , Manhattan,  New York ",40.787163,-73.9513657
"103-09 West 88 St ,Manhattan,  New York ","103-09 West 88 St , Manhattan,  New York ",40.7881894,-73.9715817
"1031,Manhattan,  Avenue , Brooklyn, ,  New York ","1031, Manhattan,  Avenue , Brooklyn,  New York ",40.7341181,-73.9551443
"1031 Pacific Street , Brooklyn, ,  New York ","1031 Pacific Street , Brooklyn,  New York ",40.6794058,-73.959471
"1033 Cauldwell Ave, Bronx,  New York ","1033 Cauldwell Ave , Bronx,  New York ",40.8259814,-73.9059893
"1036 Manor Ave, Bronx,  New York ","1036 Manor Ave , Bronx,  New York ",40.8252423,-73.8752679
"104 Division Avenue , Brooklyn, ,  New York ","104 Division Avenue , Brooklyn,  New York ",40.7073273,-73.9636078
"104 East Harlem ,Manhattan,  New York ","104 East Harlem , Manhattan,  New York ",40.8115504,-73.9464769
"104-05 37 Drive , Queens,  New York ",104-05 37 Drive  Queens New York ,40.7524602,-73.862776
"1040 Carroll Street , Brooklyn, ,  New York ","1040 Carroll Street , Brooklyn,  New York ",40.6673589,-73.9566261
"1045 Anderson Avenue, Bronx,  New York ","1045 Anderson Avenue , Bronx,  New York ",40.833399,-73.926629
"1046 Amsterdam Ave ,Manhattan,  New York ","1046 Amsterdam Ave , Manhattan,  New York ",40.8040273,-73.9634849
"1049 Fox Street, Bronx,  New York ","1049 Fox Street , Bronx,  New York ",40.8251246,-73.8941497
"105 East 97 Street ,Manhattan,  New York ","105 East 97 Street , Manhattan,  New York ",40.7871356,-73.9512858
"105-07 East 116 St ,Manhattan,  New York ","105-07 East 116 St , Manhattan,  New York ",40.7992256,-73.9425492
"1050 Hancock St , Brooklyn, ,  New York ","1050 Hancock St , Brooklyn,  New York ",40.6882437,-73.9147715
"1052 Prospect Avenue, Bronx,  New York ","1052 Prospect Avenue , Bronx,  New York ",40.8249577,-73.8990325
"1055 Bergen St , Brooklyn, ,  New York ","1055 Bergen St , Brooklyn,  New York ",40.676406,-73.9514839
"1057 Eastern Pkwy , Brooklyn, ,  New York ","1057 Eastern Pkwy , Brooklyn,  New York ",40.6694067,-73.9332423
"1059 Bedford Avenue , Brooklyn, ,  New York ","1059 Bedford Avenue , Brooklyn,  New York ",40.6876541,-73.9544709
"105th Street Homesteaders ,Manhattan,  New York ","105th Street Homesteaders , Manhattan,  New York ",40.7995932,-73.9657938
"106-01 37 Ave Homesteaders , Queens,  New York ",106-01 37 Ave Homesteaders  Queens New York ,40.7541054,-73.8620142
"1069 Teller Avenue, Bronx,  New York ","1069 Teller Avenue , Bronx,  New York ",40.8293024,-73.9136133
"107 Bleecker St , Brooklyn, ,  New York ","107 Bleecker St , Brooklyn,  New York ",40.6953713,-73.9212525
"1076 Eastern Parkway , Brooklyn, ,  New York ","1076 Eastern Parkway , Brooklyn,  New York ",40.6684049,-73.9327717
"108 Division Avenue , Brooklyn, ,  New York ","108 Division Avenue , Brooklyn,  New York ",40.7074624,-73.9635046
"108 Meserole Street , Brooklyn, ,  New York ","108 Meserole Street , Brooklyn,  New York ",40.7076887,-73.9455855
"108 Seigel Street , Brooklyn, ,  New York ","108 Seigel Street , Brooklyn,  New York ",40.704352,-73.9420915
"108 West 114 St ,Manhattan,   New York ","108 West 114 St , Manhattan,   New York ",40.8008731,-73.9515108
"108-110 West 95 St ,Manhattan,   New York ","108-110 West 95 St , Manhattan,   New York ",40.792297,-73.968861
