"Address","Type","Neighborhood","Year Built"
"1 BARKER ST MT. KISCO","Limited-equity",NA,NA
"1 COOPER SQUARE","Income-restricted, HDFC",NA,NA
"1 MORNINGSIDE AVENUE","Income-restricted, HDFC",NA,NA
"10 MORNINGSIDE AVENUE","Income-restricted, HDFC",NA,NA
"10 ST NICHOLAS TERRACE","Income-restricted, HDFC",NA,NA
"10 WEST 93 STREET","Income-restricted, HDFC","UPPER WEST SIDE (79-96)",NA
"100 FRONT STREET","Income-restricted, HDFC",NA,NA
"100 NEWEL STREET","Income-restricted, HDFC",NA,NA
"100 ST NICHOLAS AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"100 WEST 162 STREET","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"1000 DECATUR STREET","Income-restricted, HDFC",NA,NA
"1001 ANDERSON AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"100-18 NORTHERN BOULEVARD","Income-restricted, HDFC",NA,NA
"1003 EAST 174 STREET","Income-restricted, HDFC","CROTONA PARK",NA
"1005 PUTNAM AVENUE","Income-restricted, HDFC",NA,NA
"1007 EAST 174 STREET","Income-restricted, HDFC",NA,NA
"101 CLARK ST","Limited-equity, Mitchell Lama",NA,NA
"101 LENOX AVENUE","Income-restricted, HDFC",NA,NA
"101 WEST 147 STREET","Limited-equity, Mitchell Lama",NA,NA
"1012 LONGFELLOW AVENUE","Income-restricted, HDFC",NA,NA
"1015 ANDERSON AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"1015 LONGWOOD AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"1015 SUMMIT AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"1019 LONGWOOD AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"102 AVENUE B","Income-restricted, HDFC",NA,NA
"1020 TIFFA STREET","Income-restricted, HDFC",NA,NA
"102-00 SHORE FRONT PARKWAY","Limited-equity, Mitchell Lama",NA,NA
"1025 LEGGETT AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"103 CLINTON STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"103 EAST 97 STREET","Income-restricted, HDFC",NA,NA
"103 LINDEN STREET","Income-restricted, HDFC",NA,NA
"103 WEST 88 STREET","Income-restricted, HDFC",NA,NA
"1031 MANHATTAN AVENUE","Income-restricted, HDFC",NA,NA
"1031 PACIFIC STREET","Income-restricted, HDFC",NA,NA
"1031 PUGSLEY AVENUE","Limited-equity, Mitchell Lama",NA,NA
"1033 CAULDWELL AVENUE","Income-restricted, HDFC",NA,NA
"1036 MANOR AVENUE","Income-restricted, HDFC","SOUNDVIEW",NA
"104 FRONT STREET","Income-restricted, HDFC",NA,NA
"1040 CARROLL STREET","Income-restricted, HDFC","CROWN HEIGHTS",1927
"104-05 37 DRIVE","Income-restricted, HDFC",NA,NA
"1045 ANDERSON AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"1046 AMSTERDAM AVENUE","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"1049 FOX STREET","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"105 EAST 116 STREET","Income-restricted, HDFC",NA,NA
"105 EAST 97 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"105 WEST 88 STREET","Income-restricted, HDFC",NA,NA
"1050 HANCOCK STREET","Income-restricted, HDFC",NA,NA
"1052 PROSPECT AVENUE","Income-restricted, HDFC",NA,NA
"1055 BERGEN STREET","Income-restricted, HDFC","CROWN HEIGHTS",1905
"1057 EASTERN PARKWAY","Income-restricted, HDFC","CROWN HEIGHTS",1914
"1059 BEDFORD AVENUE","Income-restricted, HDFC",NA,NA
"106 DIVISION AVENUE","Income-restricted, HDFC","WILLIAMSBURG-CENTRAL",1915
"106 SOUTH 9 STREET","Income-restricted, HDFC",NA,NA
"106-01 37 AVENUE","Income-restricted, HDFC",NA,NA
"106-03 37 AVENUE","Income-restricted, HDFC",NA,NA
"1069 TELLER AVENUE","Income-restricted, HDFC",NA,NA
"107 AVENUE B","Income-restricted, HDFC",NA,NA
"107 AVENUE C","Income-restricted, HDFC","ALPHABET CITY",NA
"107 BLEECKER STREET","Income-restricted, HDFC",NA,NA
"107 NORTH 4 STREET","Limited-equity, Mitchell Lama",NA,NA
"107 WEST 88 STREET","Income-restricted, HDFC",NA,NA
"1076 EASTERN PARKWAY","Income-restricted, HDFC","CROWN HEIGHTS",1920
"108 EAST 176 STREET","Income-restricted, HDFC",NA,NA
"108 MESEROLE STREET","Income-restricted, HDFC",NA,NA
"108 OLD FULTON STREET","Limited-equity, Mitchell Lama",NA,NA
"108 SEIGEL STREET","Income-restricted, HDFC",NA,NA
"108 WEST 114 STREET","Income-restricted, HDFC",NA,NA
"108 WEST 95 STREET","Income-restricted, HDFC","UPPER WEST SIDE (79-96)",NA
"1082 SOUTHERN BOULEVARD","Income-restricted, HDFC",NA,NA
"1087 BUSHWICK AVENUE","Income-restricted, HDFC",NA,NA
"1089 BUSHWICK AVENUE","Income-restricted, HDFC",NA,NA
"109 LINDEN STREET","Income-restricted, HDFC",NA,NA
"109 WEST 88 STREET","Income-restricted, HDFC",NA,NA
"1095 BUSHWICK AVENUE","Income-restricted, HDFC","BUSHWICK",1931
"1096 WEST FARMS ROAD","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"11 EAST 131 STREET","Income-restricted, HDFC",NA,NA
"11 FORT GEORGE HILL","Limited-equity, Mitchell Lama",NA,NA
"11 ST JAMES PLACE","Limited-equity, Mitchell Lama",NA,NA
"11 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"11 WEST 107 STREET","Income-restricted, HDFC",NA,NA
"11 WEST 108 STREET","Income-restricted, HDFC","MANHATTAN VALLEY",NA
"110 CAMBRIDGE PLACE","Income-restricted, HDFC","CLINTON HILL",1930
"110 DIVISION AVENUE","Income-restricted, HDFC","WILLIAMSBURG-CENTRAL",1915
"110 FORSYTH STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"110 WEST END AVE","Limited-equity",NA,NA
"1100-04 ELDER AVE","Income-restricted, HDFC",NA,NA
"1102 SIMPSON STREET","Income-restricted, HDFC",NA,NA
"1103 FRANKLIN AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"111 SOUTH 3 STREET","Income-restricted, HDFC",NA,NA
"111 WEST 106 STREET","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"1111 SOUTHERN BOULEVARD","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"1113 GRANT AVENUE","Income-restricted, HDFC","MELROSE/CONCOURSE",NA
"1116 HOE AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"112 BEDFORD AVENUE","Income-restricted, HDFC",NA,NA
"112 EAST 102 STREET","Income-restricted, HDFC",NA,NA
"112 EAST 98 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"1120 COLLEGE AVENUE","Income-restricted, HDFC",NA,NA
"1120 GRANT AVENUE","Income-restricted, HDFC",NA,NA
"1125 STERLING PLACE","Income-restricted, HDFC","CROWN HEIGHTS",1931
"113 LINDEN STREET","Income-restricted, HDFC",NA,NA
"1131 CROES AVENUE","Income-restricted, HDFC",NA,NA
"113-15 34TH AVENUE CORONA","Limited-equity",NA,NA
"114 EAST 98 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"114 SUFFOLK STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"115 SOUTH 8 STREET","Income-restricted, HDFC",NA,NA
"115 SOUTH 9 STREET","Income-restricted, HDFC",NA,NA
"1152 PACIFIC STREET","Income-restricted, HDFC","CROWN HEIGHTS",1910
"1155 HOE AVENUE","Income-restricted, HDFC",NA,NA
