Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles
1-00011-0014,26 BEAVER STREET,FINANCIAL,D4  -ELEVATOR,20,1909,"51,387","2,425,980",47.21,"933,188",18.16,"1,492,792","12,121,000",235.88,1-00026-0014,37 WALL STREET,FINANCIAL,D5  -ELEVATOR,374,1904,"377,214","18,970,092",50.29,"7,306,635",19.37,"11,663,457","92,304,000",244.70,0.14,1-00026-0021,45 WALL STREET,FINANCIAL,D9  -ELEVATOR,440,1958,"493,187","22,765,512",46.16,"8,852,707",17.95,"13,912,805",126972000,257.45,0.14,1-00015-0022,21 WEST STREET,FINANCIAL,D8  -ELEVATOR,295,1931,"335,746","15,850,569",47.21,"6,097,147",18.16,"9,753,421","67,733,000",201.74,0.21
1-00028-0001,3 HANOVER SQUARE,FINANCIAL,D0  -ELEVATOR,211,1926,"239,121","10,117,210",42.31,"3,591,597",15.02,"6,525,612","53,157,000",222.30,1-00027-0017,67 WALL STREET,FINANCIAL,D5  -ELEVATOR,339,1921,"305,271","13,343,395",43.71,"4,194,424",13.74,"9,148,972","80,685,000",264.31,0.06,1-00015-0022,21 WEST STREET,FINANCIAL,D8  -ELEVATOR,295,1931,"335,746","13,174,673",39.24,"4,640,010",13.82,"8,534,663","67,733,000",201.74,0.34,1-00026-0014,37 WALL STREET,FINANCIAL,D5  -ELEVATOR,374,1904,"377,214","15,959,924",42.31,"5,665,754",15.02,"10,294,170","92,304,000",244.70,0.11
1-00064-0008,53 LIBERTY STREET,FINANCIAL,D4  -ELEVATOR,92,1911,"167,448","6,604,149",39.44,"2,086,402",12.46,"4,517,747","36,831,000",219.95,1-00077-0001,85 JOHN STREET,FINANCIAL,D7  -ELEVATOR,163,1926,"160,000","6,176,000",38.60,"1,902,400",11.89,"4,273,600","31,173,000",194.83,0.15,1-00077-0024,82 FULTON STREET,FINANCIAL,D7  -ELEVATOR,205,1900,"159,000","6,270,960",39.44,"1,981,140",12.46,"4,289,820","32,467,000",204.19,0.15,1-00016-0221,450 NORTH END AVENUE,TRIBECA,D8  -ELEVATOR,152,1998,"244,617","10,031,743",41.01,"3,373,268",13.79,"6,658,475","60,718,000",248.22,0.39
1-00065-0017,176 BROADWAY,FINANCIAL,D4  -ELEVATOR,83,1927,"168,176","7,815,139",46.47,"2,263,649",13.46,"5,551,490","45,112,000",268.24,1-00077-0001,85 JOHN STREET,FINANCIAL,D7  -ELEVATOR,163,1926,"160,000","7,300,800",45.63,"2,060,800",12.88,"5,240,000","31,173,000",194.83,0.16,1-00077-0024,82 FULTON STREET,FINANCIAL,D7  -ELEVATOR,205,1900,"159,000","7,388,730",46.47,"2,140,140",13.46,"5,248,590","32,467,000",204.19,0.16,1-00016-0221,450 NORTH END AVENUE,TRIBECA,D8  -ELEVATOR,152,1998,"244,617","11,751,401",48.04,"3,615,439",14.78,"8,135,961","60,718,000",248.22,0.38
1-00094-0001,80 GOLD STREET,SOUTHBRIDGE,D4  -ELEVATOR,1652,1971,"2,163,399","62,716,937",28.99,"20,703,728",9.57,"42,013,209","340,081,000",157.20,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6  -ELEVATOR,1722,1983,"1,881,621","54,247,133",28.83,"20,302,691",10.79,"33,944,443",411274000,218.57,0.67,1-00016-0221,450 NORTH END AVENUE,TRIBECA,D8  -ELEVATOR,152,1998,"244,617","7,128,139",29.14,"2,942,743",12.03,"4,185,397","60,718,000",248.22,0.67,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00100-0026,138 NASSAU STREET,SOUTHBRIDGE,D4  -ELEVATOR,43,1901,"79,422","2,939,408",37.01,"862,523",10.86,"2,076,885","16,932,000",213.19,1-00090-0017,113 NASSAU STREET,SOUTHBRIDGE,D7  -ELEVATOR,171,2012,"182,499","6,989,712",38.30,"1,859,665",10.19,"5,130,047","45,674,000",250.27,0.1,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7  -ELEVATOR,33,1905,"76,988","2,849,326",37.01,"836,090",10.86,"2,013,236","14,371,000",186.67,0.14,1-00016-0221,450 NORTH END AVENUE,TRIBECA,D8  -ELEVATOR,152,1998,"244,617","8,899,166",36.38,"2,585,602",10.57,"6,313,565","60,718,000",248.22,0.57
1-00101-0001,36 PARK ROW,SOUTHBRIDGE,D4  -ELEVATOR,51,1900,"111,685","4,764,482",42.66,"1,356,973",12.15,"3,407,509","27,735,000",248.33,1-00016-0221,450 NORTH END AVENUE,TRIBECA,D8  -ELEVATOR,152,1998,"244,617","10,819,410",44.23,"3,294,991",13.47,"7,524,419","60,718,000",248.22,0.51,1-00077-0001,85 JOHN STREET,FINANCIAL,D7  -ELEVATOR,163,1926,"160,000","6,691,200",41.82,"1,851,200",11.57,"4,840,000","31,173,000",194.83,0.19,1-00077-0024,82 FULTON STREET,FINANCIAL,D7  -ELEVATOR,205,1900,"159,000","6,782,940",42.66,"1,931,850",12.15,"4,851,090","32,467,000",204.19,0.19
1-00117-0001,185 PARK ROW,CIVIC CENTER,D4  -ELEVATOR,465,1960,"515,425","24,905,336",48.32,"10,457,973",20.29,"14,447,363","117,192,000",227.37,1-00151-0001,105 DUANE STREET,CIVIC CENTER,D6  -ELEVATOR,443,1988,"434,418","21,929,421",50.48,"7,676,166",17.67,"14,253,255",115355000,265.54,0.39,1-00175-0033,365 BROADWAY,CIVIC CENTER,D7  -ELEVATOR,30,1920,"63,600","2,935,140",46.15,"906,300",14.25,"2,028,840","16,488,000",259.25,0.42,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00134-0025,258 BROADWAY,CIVIC CENTER,D4  -ELEVATOR,45,1915,"88,320","4,075,968",46.15,"1,258,560",14.25,"2,817,408","22,895,000",259.23,1-00175-0033,365 BROADWAY,CIVIC CENTER,D7  -ELEVATOR,30,1920,"63,600","2,935,140",46.15,"906,300",14.25,"2,028,840","16,488,000",259.25,0.36,1-00016-0221,450 NORTH END AVENUE,TRIBECA,D8  -ELEVATOR,152,1998,"244,617","11,064,027",45.23,"3,598,316",14.71,"7,465,711","60,718,000",248.22,0.47,1-00720-0045,401 WEST 22 STREET,CHELSEA,D6  -ELEVATOR,61,1999,"58,394","3,032,984",51.94,"1,072,698",18.37,"1,960,287","15,855,000",271.52,2.27
1-00137-0005,80 WARREN STREET,TRIBECA,D4  -ELEVATOR,30,1915,"70,000","3,005,800",42.94,"956,900",13.67,"2,048,900","16,679,000",238.27,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6  -ELEVATOR,1722,1983,"1,881,621","76,469,077",40.64,"25,985,186",13.81,"50,483,891",411274000,218.57,0.44,1-00016-0221,450 NORTH END AVENUE,TRIBECA,D8  -ELEVATOR,152,1998,"244,617","11,064,027",45.23,"3,598,316",14.71,"7,465,711","60,718,000",248.22,0.44,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
