Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles
2-02293-0041,426 EAST 149 STREET,MOTT HAVEN/PORT MORRIS,C6  -WALK-UP,       11,1905,"10,845","221,130",     20.39,"131,225",12.10,"89,905","701,000",     64.64,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,"8,620","176,020",     20.42,"88,355",10.25,"87,665","458,000",     53.13,0.52,2-02557-0078,500 TRINITY AVENUE,MOTT HAVEN/PORT MORRIS,C7  -WALK-UP,       55,1927,"55,276","1,127,078",     20.39,"668,840",12.10,"458,238","3,692,000",     66.79,0.32,2-02582-0034,526 TINTON AVENUE,MOTT HAVEN/PORT MORRIS,C7  -WALK-UP,       84,1925,"75,924","1,476,722",     19.45,"765,314",10.08,"711,408","2,508,000",     33.03,0.59
2-02301-0004,330 EAST 139 STREET,MOTT HAVEN/PORT MORRIS,C6  -WALK-UP,       11,1931,"9,415","129,080",     13.71,"61,951",6.58,"67,129","478,000",     50.77,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,"8,620","131,369",     15.24,"68,874",7.99,"62,495","458,000",     53.13,1,2-02398-0009,356 EAST 152 STREET,MELROSE/CONCOURSE,C7  -WALK-UP,       14,1920,"12,850","156,513",     12.18,"100,230",7.80,"56,283","385,000",     29.96,0.64,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
2-02360-0070,530 EAST 159 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       46,1928,"46,210","645,092",     13.96,"400,179",8.66,"244,913","1,755,000",     37.98,2-02608-0032,3414 3 AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       14,1910,"10,850","122,714",     11.31,"78,554",7.24,"44,160","294,000",     27.10,0.63,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,"8,620","131,369",     15.24,"68,874",7.99,"62,495","458,000",     53.13,0.21,2-02674-0021,584 UNION AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       64,1926,"54,500","760,820",     13.96,"449,080",8.24,"311,740","2,234,000",     40.99,0.57
2-02373-0043,3531 3 AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       15,1920,"12,651","192,801",     15.24,"101,081",7.99,"91,720","673,000",     53.20,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,"8,620","131,369",     15.24,"68,874",7.99,"62,495","458,000",     53.13,0.79,2-02913-0042,1575 BATHGATE AVENUE,BATHGATE,C7  -WALK-UP,       11,1931,"10,765","125,089",     11.62,"62,545",5.81,"62,545","421,000",     39.11,0.55,2-02888-0039,380 EAST 173 STREET,MOUNT HOPE/MOUNT EDEN,C7  -WALK-UP,       24,1913,"16,300","288,673",     17.71,"134,964",8.28,"153,709","1,168,000",     71.66,0.73
2-02375-0029,425 EAST 153 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1912,"17,220","245,729",     14.27,"150,675",8.75,"95,054","685,000",     39.78,2-02708-0001,941 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       58,1910,"41,750","529,390",     12.68,"327,320",7.84,"202,070","1,405,000",     33.65,0.85,2-02381-0051,462 EAST 160 STREET,MORRISANIA/LONGWOOD,C1  -WALK-UP,       31,1910,"17,520","277,692",     15.85,"169,243",9.66,"108,449","803,000",     45.83,0.3,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
2-02410-0031,318 EAST 151 STREET,MELROSE/CONCOURSE,C6  -WALK-UP,       12,1918,"6,948","125,620",     18.08,"62,810",9.04,"62,810","479,000",     68.94,2-02397-0050,363 EAST 150 STREET,MELROSE/CONCOURSE,C1  -WALK-UP,       15,1991,"6,376","115,278",     18.08,"56,491",8.86,"58,787","449,000",     70.42,0.15,2-02285-0064,461 EAST 140 STREET,MOTT HAVEN/PORT MORRIS,C1  -WALK-UP,       20,1905,"13,235","232,936",     17.60,"139,100",10.51,"93,836","712,000",     53.80,0.55,2-02291-0023,409 EAST 146 STREET,MOTT HAVEN/PORT MORRIS,C1  -WALK-UP,       74,1909,"75,382","1,454,873",     19.30,"854,078",11.33,"600,795","4,642,000",     61.58,0.34
2-02410-0032,320 EAST 151 STREET,MELROSE/CONCOURSE,C6  -WALK-UP,       12,1918,"7,560","136,685",     18.08,"69,023",9.13,"67,662","516,000",     68.25,2-02397-0050,363 EAST 150 STREET,MELROSE/CONCOURSE,C1  -WALK-UP,       15,1991,"6,376","115,278",     18.08,"56,491",8.86,"58,787","449,000",     70.42,0.15,2-02285-0064,461 EAST 140 STREET,MOTT HAVEN/PORT MORRIS,C1  -WALK-UP,       20,1905,"13,235","232,936",     17.60,"139,100",10.51,"93,836","712,000",     53.80,0.55,2-02291-0023,409 EAST 146 STREET,MOTT HAVEN/PORT MORRIS,C1  -WALK-UP,       74,1909,"75,382","1,454,873",     19.30,"854,078",11.33,"600,795","4,642,000",     61.58,0.34
2-02421-0013,270 EAST 162 STREET,MELROSE/CONCOURSE,C6  -WALK-UP,       11,1931,"10,675","139,202",     13.04,"84,973",7.96,"54,229","380,000",     35.60,2-02398-0009,356 EAST 152 STREET,MELROSE/CONCOURSE,C7  -WALK-UP,       14,1920,"12,850","156,513",     12.18,"100,230",7.80,"56,283","385,000",     29.96,0.53,2-02407-0025,399 EAST 160 STREET,MELROSE/CONCOURSE,C7  -WALK-UP,       29,1914,"20,838","289,648",     13.90,"169,205",8.12,"120,444","861,000",     41.32,0.16,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
2-02422-0030,943 TELLER AVENUE,MELROSE/CONCOURSE,C6  -WALK-UP,       37,1920,"33,055","494,503",     14.96,"294,851",8.92,"199,652","1,458,000",     44.11,2-02402-0024,397 EAST 155 STREET,MELROSE/CONCOURSE,C1  -WALK-UP,       12,1931,"7,012","100,131",     14.28,"54,904",7.83,"45,227","317,000",     45.21,0.4,2-02427-0044,1241 WEBSTER AVENUE,MELROSE/CONCOURSE,C4  -WALK-UP,       16,1929,"7,420","114,639",     15.45,"73,013",9.84,"41,626","562,000",     75.74,0.59,2-02608-0033,3416 3 AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       13,1910,"10,850","162,316",     14.96,"96,782",8.92,"65,534","266,000",     24.52,0.57
2-02430-0035,1187 CLAY AVENUE,MELROSE/CONCOURSE,C6  -WALK-UP,       12,1913,"11,500","192,165",     16.71,"86,480",7.52,"105,685","793,000",     68.96,2-02427-0044,1241 WEBSTER AVENUE,MELROSE/CONCOURSE,C4  -WALK-UP,       16,1929,"7,420","122,801",     16.55,"71,603",9.65,"51,198","562,000",     75.74,0.14,2-02970-0031,1365 LYMAN PLACE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       26,1914,"18,920","372,535",     19.69,"225,905",11.94,"146,630","898,000",     47.46,0.77,2-02381-0051,462 EAST 160 STREET,MORRISANIA/LONGWOOD,C1  -WALK-UP,       31,1910,"17,520","292,759",     16.71,"160,308",9.15,"132,451","803,000",     45.83,0.64
