Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles
3-00068-0107,165 SANDS STREET,DOWNTOWN-METROTECH,D4    -ELEVATOR,      124,1902,"89,050","      3,519,256",     39.52,"      1,152,307",12.94,"      2,366,949","     18,973,000",    213.06,3-02108-0021,25 LAFAYETTE AVENUE,FORT GREENE,D7    -ELEVATOR,       36,1900,"27,144","1,140,591",     42.02,"319,485",11.77,"821,106","6,583,000",    242.52,0.96,3-01884-0040,376 FLUSHING AVENUE,BEDFORD STUYVESANT,D1    -ELEVATOR,       87,2020,"    65,702","1,953,320",     29.73,"434,947",6.62," 1,518,373","12,084,000",    183.92,1.3,3-02166-0001,111 CLYMER STREET,WILLIAMSBURG-CENTRAL,D6    -ELEVATOR,      536,1974,"   559,464","15,474,774",     27.66,"7,737,387",13.83,"7,737,387","61,288,000",    109.55,1.03
3-00173-0039,457 STATE STREET,DOWNTOWN-FULTON MALL,C6    -WALK-UP,       16,1905,"9,784","        364,454",     37.25,"        163,491",16.71,"        200,963","      1,611,000",    164.66,3-00271-0041,82 SCHERMERHORN STREET,DOWNTOWN-FULTON MALL,C1    -WALK-UP,       16,1920,"8,452","314,837",     37.25,"141,233",16.71,"173,604","2,150,000",    254.38,0.59,3-00172-0066,371 STATE STREET,DOWNTOWN-FULTON MALL,C1    -WALK-UP,       20,1905,"    15,070","573,112",     38.03,"205,404",13.63,"367,708","2,795,000",    185.47,0.18,3-00396-0053,311 BALTIC STREET,BOERUM HILL,C1    -WALK-UP,       20,1900,"    17,640","634,687",     35.98,"293,882",16.66,"340,805","2,563,000",    145.29,0.61
3-00178-0025,422 STATE STREET,BOERUM HILL,D4    -ELEVATOR,       20,1912,"17,245","        801,375",     46.47,"        264,538",15.34,"        536,837","      4,293,000",    248.94,3-00193-0050,129 BOERUM PLACE,BOERUM HILL,D9    -ELEVATOR,       46,1999,"42,000","2,016,420",     48.01,"453,180",10.79,"1,563,240","12,489,000",    297.36,0.43,3-00183-0026,384 ATLANTIC AVENUE,BOERUM HILL,C7    -WALK-UP,       14,2001,"    13,295","617,819",     46.47,"259,917",19.55,"357,901","2,862,000",    215.27,0.12,3-00183-0047,373 PACIFIC STREET,BOERUM HILL,C1    -WALK-UP,       14,1930,"    10,375","475,798",     45.86,"200,134",19.29,"275,664","2,651,000",    255.52,0.13
3-00178-0054,423 ATLANTIC AVENUE,BOERUM HILL,D4    -ELEVATOR,       23,1900,"101,902","      4,315,550",     42.35,"      1,467,389",14.40,"      2,848,161","     22,830,000",    224.04,3-00278-0011,215 PACIFIC STREET,BOERUM HILL,D7    -ELEVATOR,       11,1900,"11,416","427,187",     37.42,"106,740",9.35,"320,447","2,568,000",    224.95,0.48,3-00187-0012,250 PACIFIC STREET,BOERUM HILL,C1    -WALK-UP,       25,1920,"    17,215","813,925",     47.28,"291,622",16.94,"522,303","4,173,000",    242.40,0.39,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
3-00181-0039,251 PACIFIC STREET,BOERUM HILL,C6    -WALK-UP,       25,1914,"18,530","        627,611",     33.87,"        156,949",8.47,"        470,662","      3,767,000",    203.29,3-00390-0026,40 WYCKOFF STREET,BOERUM HILL,C1    -WALK-UP,       25,1900,"22,000","506,660",     23.03,"213,180",9.69,"293,480","2,827,000",    128.50,0.18,3-00396-0051,319 BALTIC STREET,BOERUM HILL,C1    -WALK-UP,       20,1900,"    13,800","522,054",     37.83,"208,656",15.12,"313,398","2,512,000",    182.03,0.25,3-00182-0039,317 PACIFIC STREET,BOERUM HILL,C1    -WALK-UP,       16,1900,"     6,328","214,329",     33.87,"113,398",17.92,"100,932","808,000",    127.69,0.15
3-00185-0048,467 PACIFIC STREET,BOERUM HILL,C6    -WALK-UP,       25,1912,"17,855","        564,397",     31.61,"        112,844",6.32,"        451,553","      3,605,000",    201.90,3-00187-0009,246 PACIFIC STREET,BOERUM HILL,C1    -WALK-UP,       25,1920,"17,215","569,989",     33.11,"239,805",13.93,"330,184","2,640,000",    153.35,0.49,3-00396-0053,311 BALTIC STREET,BOERUM HILL,C1    -WALK-UP,       20,1900,"    17,640","531,140",     30.11,"223,499",12.67,"307,642","2,563,000",    145.29,0.52,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
3-00197-0022,280 DEAN STREET,BOERUM HILL,C6    -WALK-UP,       25,1900,"18,000","        448,020",     24.89,"        230,760",12.82,"        217,260","      1,705,000",     94.72,3-00965-0032,118 GARFIELD PLACE,PARK SLOPE,C1    -WALK-UP,       39,1925,"27,024","713,163",     26.39,"329,693",12.20,"383,471","4,915,000",    181.88,0.74,3-02097-0015,33 ST FELIX STREET,FORT GREENE,C1    -WALK-UP,       32,1984,"    26,890","656,116",     24.40,"339,890",12.64,"316,226","6,240,000",    232.06,0.41,3-02097-0007,53 ST FELIX STREET,FORT GREENE,C1    -WALK-UP,       32,1983,"    27,530","685,222",     24.89,"352,935",12.82,"332,287","6,245,000",    226.84,0.39
3-00200-0005,8 OLD FULTON STREET,DOWNTOWN-FULTON FERRY,D4    -ELEVATOR,       11,1915,"17,400","        682,254",     39.21,"        253,170",14.55,"        429,084","      3,439,000",    197.64,3-00108-0019,14 DUFFIELD STREET,DOWNTOWN-METROTECH,D1    -ELEVATOR,       12,1935,"9,422","369,437",     39.21,"137,090",14.55,"232,347","1,863,000",    197.73,0.64,3-00234-0037,141 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D1    -ELEVATOR,       18,1979,"    15,390","671,774",     43.65,"212,074",13.78,"459,699","3,682,000",    239.25,0.32,3-00208-0506,6 MONTAGUE TERRACE,BROOKLYN HEIGHTS,D5    -ELEVATOR,       20,1900,"    13,104","460,868",     35.17,"115,184",8.79,"345,684","2,768,000",    211.23,0.53
3-00202-0001,28 OLD FULTON STREET,DOWNTOWN-FULTON FERRY,D4    -ELEVATOR,       86,1906,"171,000","      7,202,520",     42.12,"      2,520,540",14.74,"      4,681,980","     37,525,000",    219.44,3-00036-0016,66 WATER STREET,DOWNTOWN-FULTON FERRY,D7    -ELEVATOR,       26,1910,"59,273","2,044,326",     34.49,"899,171",15.17,"1,145,154","9,173,000",    154.76,0.13,3-00051-0012,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D7    -ELEVATOR,       59,2000,"    55,677","3,147,421",     56.53,"975,461",17.52," 2,171,960","17,231,000",    309.48,0.22,3-00041-0017,220 WATER STREET,DOWNTOWN-FULTON FERRY,D7    -ELEVATOR,      136,1900,"   173,457","8,631,220",     49.76,"1,725,897",9.95,"6,905,323","55,079,000",    317.54,0.45
3-00208-0331,160 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D4    -ELEVATOR,       84,1937,"84,445","      3,963,004",     46.93,"      1,387,431",16.43,"      2,575,573","     20,598,000",    243.92,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       29,1920,"24,570","969,532",     39.46,"494,840",20.14,"474,692","3,806,000",    154.90,0.1,3-00247-0001,222 HICKS STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       14,1900,"    11,800","516,604",     43.78,"129,092",10.94,"387,512","3,103,000",    262.97,0.24,3-00224-0005,107 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D1    -ELEVATOR,      158,1960,"   149,499","7,015,988",     46.93,"2,330,689",15.59,"4,685,299","37,462,000",    250.58,0.1
