"","year","TRTID10","hinc","powner","pwht","pblk","pop","punemp","mrent","pcol","phs","str30old","hh10old","fhh","pov","pfb","pfb10","p18und","p60up"
"1",1970,36005000100,8500,NA,0.27,0.7,5552,0,NA,0,0.28,NA,NA,0,0,63,0,595,103
"2",1970,36005000200,9539.06,0.71,0.9,0.09,2737,0.06,110,0.01,0.55,522,506,29,207,220,23,848,377
"3",1970,36005000400,10833.54,0.68,0.78,0.19,2630.96,0.02,101.08,0.01,0.53,251.42,483.47,36.86,143.35,242.92,0,869.11,289.23
"4",1970,36005001600,9900,0.69,0.87,0.1,1355,0.01,145,0.03,0.49,125,263,4,72,179,0,483,127
"5",1970,36005001900,4913.74,0.07,0.71,0.24,3547,0.06,74.57,0,0.41,911,918,230,1284,219,106,1596,207
"6",1970,36005002000,6730.3,0.13,0.51,0.48,10029.19,0.03,91.65,0.02,0.44,818.33,2160.82,401.76,1912.06,819.31,337.6,4034.38,983.18
"7",1970,36005002300,4995.61,0,0.55,0.41,5332.47,0.07,65.39,0.01,0.52,50.7,1677.02,87.33,1163.4,714.56,197.19,2222.57,829.12
"8",1970,36005002500,4683.57,0.01,0.71,0.27,7097,0.07,70.72,0,0.43,1343,1661,395,2336,232,48,3161,462
"9",1970,36005002701,5588.65,0.01,0.63,0.32,5609,0.04,73.8,0.01,0.43,697,1333,306,1431,320,210,2602,366
"10",1970,36005002702,4120.97,0,0.69,0.3,8186,0.06,75.57,0.01,0.38,2007,1987,696,3639,194,57,4070,430
"11",1970,36005002800,10357.58,0.04,0.38,0.59,4552,0.03,168.9,0.05,0.44,46,1352,115,354,555,180,1518,289
"12",1970,36005003100,4754.39,0.03,0.73,0.24,2533,0.05,76.39,0,0.48,719,676,190,741,204,79,1061,174
"13",1970,36005003300,4456.9,0.02,0.57,0.42,7951,0.08,75.93,0,0.37,1425,1817,654,3414,421,186,4043,347
"14",1970,36005003500,4466.05,0.03,0.62,0.34,4603,0.04,78.17,0,0.49,746,1149,172,1118,524,245,1839,460
"15",1970,36005003700,4131.58,0.02,0.55,0.44,368,0,73.96,0,0.54,101,93,18,122,136,44,130,25
"16",1970,36005003800,8050.6,0.3,0.55,0.43,1096.81,0.03,128.32,0.02,0.4,122.67,238.18,38.24,124.94,92.69,4.4,374.62,107.82
"17",1970,36005003900,5542.6,0.02,0.56,0.43,11947,0.03,75.15,0,0.41,1898,2912,744,3658,471,108,5577,761
"18",1970,36005004001,10717.95,0.6,0.95,0.01,1426,0.02,109.72,0.02,0.58,154,318,16,40,291,24,335,239
"19",1970,36005004100,4245.97,0.04,0.66,0.32,5963,0.07,72.16,0.01,0.45,840,1572,232,1637,411,177,2632,595
"20",1970,36005004200,8657.18,0.15,0.7,0.27,8667.35,0.02,93.38,0.02,0.46,36.95,2462.65,214.23,1334.73,838.39,62,3367.37,839.05
"21",1970,36005004300,3741.71,0.01,0.71,0.28,8222,0.08,70.75,0,0.41,2473,2090,620,4160,449,213,3820,493
"22",1970,36005004400,4814.61,0.04,0.6,0.39,5424,0.06,81.34,0.01,0.49,123,830,292,1422,273,0,2087,755
"23",1970,36005004600,7078.95,0.02,0.65,0.34,1789.65,0.02,93.75,0.02,0.52,149.05,417.35,36.77,272.27,61.61,0,689.63,164.95
"24",1970,36005004800,7398.15,0.11,0.87,0.1,3956,0.04,83.29,0.03,0.51,1071,1131,99,509,653,276,1175,457
"25",1970,36005005001,6778.43,0.09,0.75,0.21,4543.09,0.05,85.84,0.02,0.51,1264.92,1277.16,147.85,642.66,675.77,159.65,1405.51,585.06
"26",1970,36005005002,6778.43,0.09,0.75,0.21,5473.91,0.05,85.84,0.02,0.51,1524.08,1538.84,178.15,774.34,814.23,192.35,1693.49,704.94
"27",1970,36005005100,5381.83,0.01,0.46,0.52,8674.09,0.07,80.46,0,0.41,541.37,1632.03,500.68,2378.66,300.46,54.81,3985.47,513.93
"28",1970,36005005200,6141.79,0.09,0.72,0.26,1939,0.03,85.94,0.01,0.53,486,529,100,532,173,105,593,203
"29",1970,36005005400,6846.73,0.2,0.75,0.19,5797,0.03,86.65,0.01,0.53,1516,1365,131,846,1032,457,1701,824
"30",1970,36005005600,5858.7,0.17,0.73,0.24,2663,0.04,83.94,0.01,0.58,638,739,72,518,274,43,747,522
"31",1970,36005005902,9581.63,0,0.92,0.05,2279,0.01,118.53,0.12,0.56,665,562,31,161,295,43,264,922
"32",1970,36005006000,6166.67,0.1,0.78,0.21,1011,0.07,86.92,0.01,0.52,355,301,30,148,182,59,265,214
"33",1970,36005006100,11004.52,0.88,0.48,0.49,4424,0.02,137.74,0.08,0.57,25,1869,66,190,869,307,775,974
"34",1970,36005006200,6292.68,0.05,0.47,0.47,8231,0.06,89.18,0.01,0.45,697,1817,327,1929,619,208,3168,793
"35",1970,36005006300,7437.93,0.07,0.83,0.15,4993.27,0.08,100.36,0.06,0.63,1795.08,1104.4,35.97,568.26,925.66,39,553.59,1519.37
"36",1970,36005006400,10592.59,0.27,0.7,0.28,3457,0.04,129.38,0.02,0.52,445,816,28,250,364,82,983,413
"37",1970,36005006500,4209.52,0.02,0.79,0.19,4578,0.05,58.39,0.01,0.56,1430,1174,146,1206,941,448,1322,645
"38",1970,36005006700,5054.51,0.02,0.59,0.37,9194,0.08,76.08,0,0.44,1591,1846,495,2844,986,299,3808,804
"39",1970,36005006800,9697.92,0.23,0.86,0.1,2648,0.05,93.09,0.03,0.53,410,667,25,176,571,184,698,435
"40",1970,36005006900,4011.15,0.02,0.62,0.36,10270,0.1,74.78,0,0.42,1937,2465,604,4239,844,287,4754,967
"41",1970,36005007000,9065.22,0.33,0.94,0.04,3304,0.04,90.94,0.03,0.57,874,648,53,251,553,196,908,620
