year,TRTID10,hinc,prent,powner,pwht,pblk,pop,punemp,mrent,pcol,phs,str30old,hh10old,fhh,pov,pfb,pfb10,p18und,p60up
1970,36005000100,8500,NA,NA,0.2737752161383287,0.7038904918801921,5551.99998448789,0,NA,0.003962536034125954,0.2820605195200565,NA,NA,0,0,63,0,595,103
1970,36005000200,9539.062397,0.29066985645933013,0.7093301435406698,0.896236755571793,0.08622579470333495,2736.99999880514,0.0625,110,0.011326269643234676,0.5491413959284425,522,506,29,207,220,23,848,377
1970,36005000400,10833.53702,0.32234854831982573,0.677651462090483,0.7817310651484711,0.192184164119935,2630.95839532085,0.023759658711096025,101.0795145,0.013673765865694265,0.534241538558647,251.4186325,483.4671021,36.86215496,143.3490601,242.9221268,0,869.113555908203,289.231006622314
1970,36005001600,9900,0.30659025787965616,0.6934097421203438,0.8745387453874555,0.1033210333155785,1354.99999861975,0.009671179883945842,145,0.028044280471371308,0.49298893039147457,125,263,4,72,179,0,483,127
1970,36005001900,4913.737545,0.9261083743842364,0.07389162561576355,0.7101776146473562,0.24358612490630455,3547.00006140472,0.05728643216080402,74.56708673,0.002255427082465783,0.4079503735409985,911,918,230,1284,219,106,1596,207
1970,36005002000,6730.302913,0.8677909481419295,0.13220911441917546,0.5051181102362207,0.4773622283617116,10029.1913445623,0.029285098840075043,91.6521695,0.015452756625690213,0.4389763814195271,818.3267212,2160.816895,401.7599182,1912.061401,819.3138428,337.5968018,4034.38037109375,983.176635742188
1970,36005002300,4995.614345,0.9988757920481287,0.0011242271487094978,0.549392498679345,0.41327698997466805,5332.47226290673,0.06658130402379822,65.39297415,0.005986969402930846,0.5217467729468175,50.7049675,1677.019775,87.3252182,1163.397217,714.5644531,197.1859741,2222.56762695313,829.1201171875
1970,36005002500,4683.574812,0.9873928391326273,0.012607160867372668,0.7086092715231778,0.2675778448116624,7097.00013219193,0.07455012853470437,70.72289166,5.636184198244601e-4,0.42736366683189686,1343,1661,395,2336,232,48,3161,462
1970,36005002701,5588.651904,0.9936020468451695,0.006397953154830534,0.6325548226065253,0.32269566033927505,5608.99974925816,0.037237644368986196,73.80376264,0.005526831783884466,0.42931005663148397,696.999939,1333,306,1430.999878,320,209.9999847,2602,365.999969482422
1970,36005002702,4120.967702,0.9978232477144101,0.0021767522855899,0.6915465428780837,0.30112386553489334,8186.00012198091,0.05672969966629588,75.56565636,0.007085267424350432,0.3808942039504249,2007,1987,696,3639,194,57,4070,430
