"year","TRTID10","hinc","powner","pwht","pblk","pop"
"1970",36005000100,8500,NA,"27.38","70.39",5551.99998448789
"1970",36005000200,9539.062397,"70.93","89.62","8.62",2736.99999880514
"1970",36005000400,10833.53702,"67.77","78.17","19.22",2630.95839532085
"1970",36005001600,9900,"69.34","87.45","10.33",1354.99999861975
"1970",36005001900,4913.737545,"7.39","71.02","24.36",3547.00006140472
"1970",36005002000,6730.302913,"13.22","50.51","47.74",10029.1913445623
"1970",36005002300,4995.614345,"0.11","54.94","41.33",5332.47226290673
"1970",36005002500,4683.574812,"1.26","70.86","26.76",7097.00013219193
"1970",36005002701,5588.651904,"0.64","63.26","32.27",5608.99974925816
"1970",36005002702,4120.967702,"0.22","69.15","30.11",8186.00012198091
"1970",36005002800,10357.57604,"4.24","38.29","59.34",4551.99993534945
"1970",36005003100,4754.385889,"3.40","73.15","24.08",2533.00008138688
"1970",36005003300,4456.896542,"2.05","56.82","41.82",7950.99997038022
"1970",36005003500,4466.049103,"2.55","62.33","34.28",4603
"1970",36005003700,4131.579208,"1.68","55.43","43.75",368
"1970",36005003800,8050.599041,"29.51","54.71","43.07",1096.80849027935
"1970",36005003900,5542.601006,"2.20","55.72","42.59",11946.9997885963
"1970",36005004001,10717.94821,"60.30","94.95","1.05",1425.99999468774
"1970",36005004100,4245.967907,"4.27","66.04","32.01",5962.99998889305
"1970",36005004200,8657.184584,"15.18","69.64","27.10",8667.35070445994
"1970",36005004300,3741.712543,"1.47","70.58","27.58",8222
"1970",36005004400,4814.606883,"3.60","59.92","38.57",5424.00003536046
"1970",36005004600,7078.947461,"1.80","64.96","33.93",1789.6491569858
"1970",36005004800,7398.147595,"10.98","87.03","10.21",3956.00008105487
"1970",36005005001,6778.430477,"9.15","74.64","21.09",4543.09179376066
"1970",36005005002,6778.431424,"9.15","74.64","21.09",5473.90820623934
"1970",36005005100,5381.830259,"0.62","45.89","51.63",8674.0881014932
"1970",36005005200,6141.791069,"8.64","71.74","26.25",1938.99997110665
"1970",36005005400,6846.733746,"19.67","74.85","19.46",5797.00002699438
"1970",36005005600,5858.696033,"17.25","72.96","23.58",2663.00004960224
"1970",36005005902,9581.63263,"0.28","91.93","5.22",2279
"1970",36005006000,6166.666424,"9.62","77.84","20.67",1010.99996986985
"1970",36005006100,11004.5244,"88.48","48.30","49.39",4424.00013660942
"1970",36005006200,6292.683143,"4.88","46.85","46.57",8231.00022805505
"1970",36005006300,7437.92663,"7.33","83.42","15.10",4993.27343332707
"1970",36005006400,10592.59332,"26.79","70.26","27.91",3456.99997464579
"1970",36005006500,4209.52376,"2.29","79.23","18.72",4578.00004150343
"1970",36005006700,5054.511359,"1.78","59.29","37.00",9194.00006850064
"1970",36005006800,9697.917342,"22.61","86.48","10.42",2648.00000431575
"1970",36005006900,4011.152227,"2.30","61.80","35.76",10270.0001779928
"1970",36005007000,9065.217452,"32.86","94.22","3.75",3304.00002769381
"1970",36005007100,4510.714512,"0.62","65.34","30.09",5430.00008344185
"1970",36005007200,9780.769835,"22.14","95.45","1.73",4504.99997272855
"1970",36005007300,4779.329469,"0.79","63.68","33.38",6066.0001216387
"1970",36005007400,10386.36346,"86.68","75.60","20.46",1954.99996358529
"1970",36005007500,5186.363886,"2.87","51.19","44.45",11386.9998833453
"1970",36005007600,7662.723744,"21.42","87.66","9.17",4288.00002810266
"1970",36005007700,4367.132919,"4.53","60.76","37.79",3638.99987629848
"1970",36005007800,8708.332884,"25.45","95.72","2.76",5251.99998593749
"1970",36005007900,4681.494618,"2.87","70.15","27.22",8337.99990681559
"1970",36005008300,4381.118665,"1.53","78.72","18.12",12192.0000794828
"1970",36005008400,12088.2355,"73.37","57.44","39.95",745.435042854498
"1970",36005008500,3815.140978,"5.20","62.69","35.48",7907.46142394748
"1970",36005008600,9533.332908,"7.91","82.32","16.64",4891.99998177588
"1970",36005008700,4578.873227,"0.75","56.16","40.24",14985.5384554747
"1970",36005008900,4944.444226,"1.53","74.40","18.12",6003.98945679285
"1970",36005009000,9615.891923,"19.25","83.81","15.33",4210.28994100006
"1970",36005009200,8271.42887,"23.06","98.31","0.12",4260.99996230053
"1970",36005009300,5686.77687,"9.61","59.53","36.42",7478.85529691269
"1970",36005009600,8847.6175,"49.15","98.18","1.82",1926.00000534579
"1970",36005009800,9550.561151,"46.35","91.13","7.39",4340.99996285612
"1970",36005011000,3600.000127,"84.62","97.77","2.23",17.3417928893396
"1970",36005011502,4628.205,"3.89","63.00","30.04",6088.99996030424
"1970",36005011700,5987.570422,"16.92","28.32","66.03",1719.14460504055
"1970",36005011800,7346.752578,"80.35","99.15","0.50",4840.65562098971
"1970",36005011900,4278.553278,"1.75","49.22","47.79",9540.01003789155
"1970",36005012101,4697.530832,"3.06","64.35","31.56",6874.99991596269
"1970",36005012102,4375,"1.53","73.88","24.12",2740.9999489449
"1970",36005012300,3993.750381,"2.76","56.10","40.15",6353.03246292152
"1970",36005012500,4326.388644,"4.59","53.49","40.97",6680.00004704809
"1970",36005012701,3865.59136,"1.53","78.96","18.62",5616.99993722513
"1970",36005012901,3917.847037,"2.41","48.17","44.76",6040.9998755221
"1970",36005013000,10000,"66.20","99.36","0.00",941.999977190048
"1970",36005013100,3867.841303,"3.34","32.82","63.22",9334
"1970",36005013200,11592.81511,"70.00","99.44","0.22",5506.34433075902
"1970",36005013300,5939.21601,"9.70","27.36","68.58",9574.99991528457
"1970",36005013500,4978.915575,"4.62","14.35","84.59",5844.99990337645
"1970",36005013800,10822.48512,"79.68","99.44","0.53",3561.00001518308
"1970",36005014100,4097.297949,"4.31","60.98","37.13",5674.38184169121
"1970",36005014300,4773.584913,"5.34","41.53","56.36",1487.61810909491
"1970",36005014400,6143.265805,"13.85","65.00","34.34",5321.97471919842
"1970",36005014500,5330.188571,"2.54","29.82","64.98",6564.99991440214
"1970",36005014701,5702.651376,"0.64","38.07","57.80",7988.33233562624
"1970",36005014702,5702.651382,"0.64","38.07","57.80",7452.66739833355
"1970",36005014900,4951.922719,"4.02","21.11","74.60",6531.00000608247
"1970",36005015100,4569.50697,"6.71","4.67","93.10",7811.00005819649
"1970",36005015200,8699.25447,"45.76","99.33","0.53",2829.24325396831
"1970",36005015300,3905.228912,"2.39","48.93","46.59",13744.9999231938
"1970",36005015500,4264.084516,"1.05","55.01","41.27",7002.00019563362
"1970",36005015700,3626.11686,"3.74","56.47","39.70",9711.9677317337
"1970",36005015800,11395.83295,"67.58","99.80","0.00",979.999985396862
"1970",36005015900,3193.133503,"0.97","62.04","36.57",6393.0000308603
"1970",36005016000,10741.75808,"67.65","99.54","0.30",3694.00007837446
"1970",36005016100,4428.571234,"0.32","45.78","50.77",11095.0001046219
"1970",36005016200,10012.34607,"63.79","99.72","0.00",1780.99995355681
"1970",36005016400,9396.551495,"58.75","99.08","0.00",1311.00000976771
"1970",36005016500,3355.931802,"1.26","55.19","42.60",6442.42379638604
"1970",36005016600,12185.3929,"72.47","99.77","0.05",2152.75676572637
"1970",36005016700,3690.841054,"1.53","62.02","36.05",6777.55052868913
"1970",36005016900,3473.282462,"1.37","51.10","44.62",4347.5954089657
"1970",36005017300,5325.174981,"6.02","53.33","44.95",4936.99996781442
"1970",36005017500,5608.303189,"1.95","42.61","55.27",7286.04115253687
"1970",36005017701,5866.922971,"8.21","37.74","59.94",5557.13173619267
"1970",36005017702,5866.923234,"8.21","37.74","59.94",5853.68067137718
"1970",36005017901,6116.564863,"0.38","64.60","33.17",5953.75346848369
"1970",36005017902,6116.564417,"0.38","64.60","33.17",4212.24660725892
"1970",36005018101,5781.786874,"4.18","58.40","39.57",2744.30436428636
"1970",36005018102,5781.786811,"4.18","58.40","39.57",5142.69559164159
"1970",36005018301,6596.685002,"2.75","73.84","23.96",4263.91442137957
"1970",36005018302,6596.685086,"2.75","73.84","23.96",3439.08558128265
"1970",36005018400,10223.35067,"55.88","99.60","0.05",4259.0000039665
"1970",36005018500,4470.455763,"3.47","17.83","78.04",12101.000113938
"1970",36005018900,6549.834041,"4.82","74.86","23.71",8201.81982541084
