"year","TRTID10","hinc","powner","pwht","pblk","pop"
"1980",36047000100,19273.2823,"29.59","77.78","10.13",5078.396358
"1980",36047000200,8077.000157,"15.08","10.14","2.98",1243.000024
"1980",36047000301,22395.99996,"15.33","88.60","4.56",5352.99999
"1980",36047000501,17082.00004,"9.41","86.52","4.83",3425.54353
"1980",36047000502,17082.00009,"9.41","86.52","4.83",2747.456493
"1980",36047000700,20628.99977,"16.74","80.99","3.91",3271.999963
"1980",36047000900,16455.99989,"10.60","70.69","10.64",1804.999988
"1980",36047001100,11289.00017,"8.60","50.00","13.59",184.0000027
"1980",36047001300,20872.99988,"18.54","55.56","29.65",1608.999991
"1980",36047001500,6408.326769,"2.39","5.90","73.22",3188.24709
"1980",36047001800,7080.004282,"8.42","81.42","9.23",144.9018157
"1980",36047002000,7879.999992,"16.67","6.02","4.75",1345.999999
"1980",36047002100,14916.9998,"15.22","61.69","4.98",401.9999947
"1980",36047002200,8208.00005,"29.91","26.46","7.02",3586.003873
"1980",36047002300,8810.99977,"0.72","1.33","78.87",4949.999871
"1980",36047002901,5468.999985,"0.59","1.08","80.51",3596.99999
"1980",36047003000,17397.00013,"36.15","90.64","0.18",1624.000012
"1980",36047003100,14343.43922,"19.22","18.96","46.62",2763.752936
"1980",36047003300,7487.999895,"15.21","17.80","55.55",1639.999977
"1980",36047003400,14290.53665,"28.43","94.58","0.03",3456.354476
"1980",36047003500,10906.00043,"11.85","22.88","55.98",1387.656937
"1980",36047003600,15088.99989,"12.63","89.49","0.27",3682.999973
"1980",36047003700,12981.00016,"1.76","23.53","28.03",286.9404321
"1980",36047003800,19257,"36.10","95.51","0.19",1603
"1980",36047003900,11490.29276,"7.88","30.46","25.02",1889.059577
"1980",36047004100,16454.00015,"24.30","50.41","17.62",2787.000026
"1980",36047004300,9175.000068,"10.34","24.50","20.09",3086.000023
"1980",36047004400,26461.31601,"68.61","96.54","0.04",2690.999992
"1980",36047004500,19518.99993,"19.19","78.53","3.43",3586.999987
"1980",36047004600,23973.04104,"67.92","96.48","0.07",1364.99999
"1980",36047004700,7125.222933,"9.56","30.99","2.78",423.851099
"1980",36047004900,14599.0004,"18.26","64.21","4.85",2531.752703
"1980",36047005000,20448.00023,"33.02","96.08","0.12",2421.000027
